,,,,,,,,,"Number of I-485 Applications to Register Permanent Residence or Adjust Status by Category of              
Admission, Case Status, and USCIS Field Office or Service Center Location              
July 1 - September 30, 2017  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, Family-based ,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"87,734","71,142","9,708","314,939","23,032","23,459","2,127","149,382","49,862","40,940","1,221","131,089","4,958","6,654","1,232","28,948","165,586","142,195","14,288","624,358",,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, St. Louis  , STL , 295 , 379 , 47 ," 1,048 ", -   , -   , D , 56 , 40 , D , D , 85 , D , D , -   , 46 , 337 , 388 , 50 ," 1,235 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Montana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Helena  , HEL , 50 , 286 , D  , 237 , -   , -   , -   , D , -   , 14 , -   , 14 , D , -   , -   , D , 51 , 300 , D , 259 ,,,,,,,,,,,,,,,,,,,,,,,,,
 Nebraska ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Omaha  , OMA , 241 , 416 , 61 , 915 , -   , D , D , 18 , 275 , 356 , 27 ," 1,489 ", D , D , -   , 20 , 521 , 782 , 89 ," 2,442 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Nevada ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Las Vegas  , LVG ," 1,022 ", 920 , 141 ," 3,449 ", -   , 11 , -   , 49 , 479 , 400 , D ," 1,466 ", D , D , D , 17 ," 1,502 "," 1,339 ", 151 ," 4,981 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Reno  , REN , 166 , 177 , 19 , 452 , -   , D , -   , D , D , 106 , D , 24 , -   , D , -   , D , 170 , 285 , 23 , 484 ,,,,,,,,,,,,,,,,,,,,,,,,,
 New Hampshire ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Manchester  , MAN , 154 , 159 , 13 , 359 , -   , -   , -   , 25 , D , D , D , 21 , D , D , D , D , 164 , 164 , 15 , 406 ,,,,,,,,,,,,,,,,,,,,,,,,,
